Name,Duration,Realtime,%CPU,Peak Memory
SAMPLESHEET_CHECK (samplesheet_concat.csv),2s,1s,78.5%,29.8 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),25.7s,23s,95.7%,11.9 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),26s,23s,94.6%,11.9 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),24.8s,23s,94.9%,11.9 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),25.3s,23s,94.9%,11.9 MB
GET_CHROM_SIZES (UU_Cfam_GSD_1.0_ROSY.fa),24.4s,22s,99.7%,11.8 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),25s,24s,96.3%,11.9 MB
SAMTOOLS_FAIDX (UU_Cfam_GSD_1.0_ROSY.fa),26.3s,23s,95.2%,11.9 MB
NANOPLOT (AD_R1),10m 44s,10m 42s,97.9%,59.6 GB
NANOPLOT (AB_R1),5m 51s,5m 49s,95.6%,59.5 GB
FASTQC (AA_R1),2m 40s,2m 38s,115.9%,4.6 GB
FASTQC (AD_R1),6m 6s,6m 4s,111.8%,4.6 GB
NANOPLOT (AC_R1),5m 54s,5m 52s,95.2%,68.8 GB
FASTQC (AE_R1),3m 56s,3m 55s,107.8%,4.6 GB
FASTQC (AC_R1),3m 52s,3m 50s,141.4%,4.6 GB
NANOPLOT (AA_R1),3m 43s,3m 42s,92.8%,68.8 GB
MINIMAP2_INDEX (UU_Cfam_GSD_1.0_ROSY.fa),3m 48s,3m 46s,138.7%,12.3 GB
FASTQC (AB_R1),3m 39s,3m 38s,104.0%,4.5 GB
FASTQC (AF_R1),6m,5m 58s,141.5%,4.6 GB
NANOPLOT (AF_R1),9m 18s,9m 18s,97.0%,59.5 GB
MINIMAP2_ALIGN (AD_R1),20m 13s,20m 11s,586.9%,12 GB
MINIMAP2_ALIGN (AA_R1),9m 43s,9m 41s,528.3%,11.6 GB
MINIMAP2_ALIGN (AC_R1),14m 28s,14m 27s,572.0%,11.5 GB
MINIMAP2_ALIGN (AF_R1),22m 33s,22m 31s,543.0%,12.5 GB
MINIMAP2_ALIGN (AB_R1),15m 32s,15m 31s,545.8%,11.4 GB
MINIMAP2_ALIGN (AE_R1),17m 57s,17m 55s,519.2%,11.4 GB
NANOPLOT (AE_R1),6m 1s,5m 59s,95.8%,59.5 GB
SAMTOOLS_VIEW_BAM (AC_R1),56.4s,56s,317.8%,655.2 MB
SAMTOOLS_VIEW_BAM (AA_R1),25.7s,25s,384.7%,657 MB
SAMTOOLS_VIEW_BAM (AF_R1),1m 11s,1m 10s,393.2%,654.4 MB
SAMTOOLS_VIEW_BAM (AB_R1),42.3s,42s,400.5%,655.2 MB
SAMTOOLS_VIEW_BAM (AD_R1),2m,2m,273.5%,656.1 MB
SAMTOOLS_SORT_INDEX (AC_R1),2m 51s,2m 50s,175.6%,2 GB
SAMTOOLS_VIEW_BAM (AE_R1),42.3s,41s,398.2%,655.2 MB
SAMTOOLS_SORT_INDEX (AA_R1),1m 47s,1m 47s,158.1%,1.9 GB
SAMTOOLS_SORT_INDEX (AB_R1),2m 42s,2m 42s,154.1%,2 GB
SAMTOOLS_SORT_INDEX (AF_R1),5m 10s,5m 10s,148.8%,2 GB
SAMTOOLS_SORT_INDEX (AE_R1),2m 39s,2m 39s,169.8%,1.9 GB
SAMTOOLS_IDXSTATS (AC_R1),15.3s,0ms,102.6%,12.1 MB
SAMTOOLS_SORT_INDEX (AD_R1),5m 18s,5m 17s,158.1%,2 GB
BEDTOOLS_GENOMECOV (AC_R1),6m 3s,5m 59s,137.1%,15.3 GB
SAMTOOLS_IDXSTATS (AB_R1),19.4s,0ms,61.1%,11.7 MB
SAMTOOLS_STATS (AC_R1),1m 30s,1m 30s,134.2%,1 GB
SAMTOOLS_STATS (AB_R1),1m 41s,1m 22s,134.9%,774.4 MB
SAMTOOLS_FLAGSTAT (AC_R1),37.8s,23s,128.4%,220.8 MB
SAMTOOLS_FLAGSTAT (AB_R1),41.8s,23s,125.5%,220.8 MB
SAMTOOLS_STATS (AA_R1),1m 16s,1m 1s,125.2%,944.4 MB
SNIFFLES (AF_R1),4m 37s,4m 36s,822.3%,925.2 MB
BEDTOOLS_GENOMECOV (AF_R1),8m 8s,8m 7s,140.7%,23 GB
SAMTOOLS_IDXSTATS (AA_R1),15.1s,0ms,81.6%,12.9 MB
SNIFFLES (AA_R1),1m 35s,1m 34s,771.3%,864.9 MB
BEDTOOLS_GENOMECOV (AB_R1),5m 24s,5m 23s,139.0%,14.9 GB
SAMTOOLS_FLAGSTAT (AF_R1),1m 2s,36s,128.0%,220.8 MB
BEDTOOLS_GENOMECOV (AA_R1),2m 53s,2m 51s,140.5%,8.5 GB
SNIFFLES (AB_R1),3m 7s,3m 6s,841.4%,890.5 MB
SAMTOOLS_STATS (AD_R1),2m 57s,2m 24s,136.8%,1.4 GB
SAMTOOLS_FLAGSTAT (AD_R1),42.3s,42s,127.7%,220.8 MB
SAMTOOLS_IDXSTATS (AD_R1),1.5s,1s,28.0%,5.4 MB
SAMTOOLS_FLAGSTAT (AA_R1),28.2s,13s,123.4%,220.8 MB
SAMTOOLS_IDXSTATS (AE_R1),1.1s,0ms,62.9%,5.4 MB
BEDTOOLS_GENOMECOV (AE_R1),5m 9s,5m 8s,139.8%,15 GB
SAMTOOLS_IDXSTATS (AF_R1),791ms,0ms,72.1%,5.4 MB
SAMTOOLS_STATS (AF_R1),2m 24s,2m 24s,131.8%,1 GB
SAMTOOLS_STATS (AE_R1),1m 39s,1m 38s,130.8%,964.1 MB
SNIFFLES (AE_R1),3m 25s,3m 21s,876.0%,891.6 MB
UCSC_BEDGRAPHTOBIGWIG (AC_R1),1m 21s,1m 19s,99.2%,116.3 MB
UCSC_BEDGRAPHTOBIGWIG (AA_R1),44.5s,41s,98.4%,77.7 MB
BEDTOOLS_GENOMECOV (AD_R1),10m 22s,10m 15s,139.0%,29 GB
UCSC_BEDGRAPHTOBIGWIG (AE_R1),1m 21s,1m 19s,99.6%,116.7 MB
SAMTOOLS_FLAGSTAT (AE_R1),25.3s,24s,121.2%,220.8 MB
UCSC_BEDGRAPHTOBIGWIG (AB_R1),1m 22s,1m 18s,95.7%,111.7 MB
UCSC_BEDGRAPHTOBIGWIG (AF_R1),2m 3s,1m 59s,99.5%,153 MB
UCSC_BEDGRAPHTOBIGWIG (AD_R1),2m 37s,2m 36s,100.0%,192.1 MB
DEEPVARIANT (AA_R1),3h 28m 39s,3h 28m 37s,641.9%,14.8 GB
DEEPVARIANT_TABIX_VCF (AA_R1),883ms,1s,84.0%,11.1 MB
CUSTOM_DUMPSOFTWAREVERSIONS (1),902ms,356ms,74.6%,13.1 MB
DEEPVARIANT_TABIX_GVCF (AA_R1),29.4s,29s,94.5%,27.3 MB
DEEPVARIANT (AC_R1),4h 22m 51s,4h 22m 49s,728.8%,14.8 GB
DEEPVARIANT_TABIX_VCF (AC_R1),742ms,0ms,100.9%,10.8 MB
DEEPVARIANT_TABIX_GVCF (AC_R1),31.6s,31s,99.6%,28.5 MB
DEEPVARIANT (AB_R1),4h 41m,4h 40m 59s,687.4%,14.8 GB
DEEPVARIANT_TABIX_VCF (AB_R1),948ms,1s,95.7%,10.9 MB
DEEPVARIANT_TABIX_GVCF (AB_R1),36.9s,37s,98.0%,26 MB
DEEPVARIANT (AF_R1),5h 54m 19s,5h 54m 18s,804.3%,14.8 GB
DEEPVARIANT_TABIX_VCF (AF_R1),1.1s,1s,100.0%,10.9 MB
DEEPVARIANT_TABIX_GVCF (AF_R1),44.6s,44s,100.1%,26.9 MB
DEEPVARIANT (AE_R1),5h 55s,5h 54s,699.3%,14.9 GB
SNIFFLES_SORT_VCF (AF_R1),2.6s,0ms,308.2%,5.4 MB
DEEPVARIANT_TABIX_VCF (AE_R1),728ms,1s,101.1%,10.8 MB
SNIFFLES_SORT_VCF (AA_R1),476ms,0ms,915.0%,49.3 MB
SNIFFLES_TABIX_VCF (AF_R1),333ms,0ms,98.0%,5.4 MB
SNIFFLES_TABIX_VCF (AA_R1),323ms,0ms,102.5%,10.5 MB
SNIFFLES_SORT_VCF (AB_R1),481ms,0ms,888.6%,14.4 MB
SNIFFLES_TABIX_VCF (AB_R1),312ms,0ms,91.4%,5.4 MB
SNIFFLES_SORT_VCF (AE_R1),440ms,0ms,1046.2%,51.2 MB
SNIFFLES_TABIX_VCF (AE_R1),289ms,0ms,95.0%,5.4 MB
DEEPVARIANT_TABIX_GVCF (AE_R1),31.1s,31s,100.0%,25.1 MB
MULTIQC (1),33.1s,31.8s,107.1%,3.4 GB
DEEPVARIANT (AD_R1),6h 15m 14s,6h 15m 12s,928.2%,14.8 GB
DEEPVARIANT_TABIX_VCF (AD_R1),4s,1s,49.5%,22.7 MB
DEEPVARIANT_TABIX_GVCF (AD_R1),59.6s,58s,99.6%,28.8 MB
SNIFFLES (AC_R1),2m 20s,2m 17s,908.7%,892.2 MB
SNIFFLES (AD_R1),4m 59s,4m 58s,979.0%,944.6 MB
SNIFFLES_SORT_VCF (AD_R1),453ms,361ms,-,-
SNIFFLES_SORT_VCF (AC_R1),756ms,1s,757.1%,49.3 MB
